trade_id,entry_date,exit_date,expiry,dte_at_entry,nifty_reference_entry,put_long_strike,put_short_strike,call_short_strike,call_long_strike,wing_width_points,put_long_entry_premium,put_short_entry_premium,call_short_entry_premium,call_long_entry_premium,put_long_exit_premium,put_short_exit_premium,call_short_exit_premium,call_long_exit_premium,entry_credit_points,entry_credit_value_per_lot,lower_breakeven,upper_breakeven,take_profit_credit_pct,stop_loss_credit_multiple,take_profit_debit,stop_loss_debit,lot_size,gross_pnl,modeled_costs,net_pnl,return_on_capital,return_on_max_loss,max_expiry_loss_points,max_expiry_loss,exit_reason
OOS-20230314-20230316-16900-17350,2023-03-14,2023-03-15,2023-03-16,2,17125.75,16650.0,16900.0,17350.0,17600.0,250.0,6.5,35.2,16.0,4.25,3.75,33.3,3.65,2.2,40.45,2022.5000000000002,16859.55,17390.45,0.4,1.0,24.27,80.9,50,3572.5,99.50038864999999,3472.99961135,0.0347299961135,0.33147216524457174,209.55,10477.5,take_profit
OOS-20230321-20230323-16900-17400,2023-03-21,2023-03-22,2023-03-23,2,17160.15,16650.0,16900.0,17400.0,17650.0,250.0,5.9,23.8,7.45,1.6,2.6,11.55,5.0,0.85,23.75,1187.5,16876.25,17423.75,0.4,1.0,14.25,47.5,50,1842.4999999999998,97.38772875000001,1745.1122712499998,0.0174511227125,0.15426406817679555,226.25,11312.5,take_profit
OOS-20230328-20230329-16750-17200,2023-03-28,2023-03-29,2023-03-29,1,16970.6,16500.0,16750.0,17200.0,17450.0,250.0,0.95,5.65,3.4,0.95,0.1,0.15,0.15,0.1,7.150000000000001,357.50000000000006,16742.85,17207.15,0.4,1.0,4.290000000000001,14.300000000000002,50,362.5000000000001,95.10291805,267.39708195000014,0.0026739708195000016,0.02202158385423102,242.85,12142.5,take_profit
OOS-20230411-20230413-17550-18050,2023-04-11,2023-04-12,2023-04-13,2,17788.2,17300.0,17550.0,18050.0,18300.0,250.0,2.25,8.5,1.15,0.6,1.5,3.45,1.4,0.45,6.800000000000001,340.00000000000006,17543.2,18056.8,0.4,1.0,4.08,13.600000000000001,50,485.00000000000006,95.39123369999999,389.60876630000007,0.0038960876630000007,0.03204019459703948,243.2,12160.0,take_profit
OOS-20230418-20230420-17450-17950,2023-04-18,2023-04-19,2023-04-20,2,17712.35,17200.0,17450.0,17950.0,18200.0,250.0,1.4,5.5,3.1,1.45,0.95,4.3,1.55,1.05,5.749999999999999,287.49999999999994,17444.25,17955.75,0.4,1.0,3.4499999999999993,11.499999999999998,50,480.0,95.3427337,384.6572663,0.003846572663,0.03149701259365404,244.25,12212.5,take_profit
OOS-20230425-20230427-17550-18050,2023-04-25,2023-04-26,2023-04-27,2,17782.3,17300.0,17550.0,18050.0,18300.0,250.0,2.35,5.6,1.65,0.65,1.55,2.7,1.05,0.45,4.25,212.5,17545.75,18054.25,0.4,1.0,2.55,8.5,50,300.0,95.203969,204.796031,0.00204796031,0.016667021851475075,245.75,12287.5,take_profit
OOS-20230502-20230504-17950-18450,2023-05-02,2023-05-03,2023-05-04,2,18213.15,17700.0,17950.0,18450.0,18700.0,250.0,2.8,8.25,2.2,0.85,1.65,9.6,1.0,0.55,6.8,340.0,17943.2,18456.8,0.4,1.0,4.08,13.6,50,759.9999999999999,95.61094709999999,664.3890528999999,0.006643890528999999,0.05463725763980262,243.2,12160.0,take_profit
OOS-20230509-20230511-18050-18550,2023-05-09,2023-05-10,2023-05-11,2,18306.4,17800.0,18050.0,18550.0,18800.0,250.0,2.7,7.9,2.95,1.2,1.65,3.8,1.6,0.6,6.950000000000002,347.5000000000001,18043.05,18556.95,0.4,1.0,4.170000000000001,13.900000000000004,50,505.00000000000006,95.5328316,409.46716840000005,0.004094671684,0.0336940685784818,243.05,12152.5,take_profit
OOS-20230516-20230518-18050-18600,2023-05-16,2023-05-17,2023-05-18,2,18328.4,17800.0,18050.0,18600.0,18850.0,250.0,1.85,7.05,3.4,1.65,1.0,6.35,1.55,1.1,6.949999999999999,347.49999999999994,18043.05,18606.95,0.4,1.0,4.169999999999999,13.899999999999999,50,637.5,95.54058054999999,541.95941945,0.0054195941945,0.044596537292738124,243.05,12152.5,take_profit
OOS-20230523-20230525-18100-18600,2023-05-23,2023-05-24,2023-05-25,2,18365.8,17850.0,18100.0,18600.0,18850.0,250.0,2.75,6.85,2.45,0.85,1.1,4.3,1.3,0.85,5.700000000000001,285.00000000000006,18094.3,18605.7,0.4,1.0,3.4200000000000004,11.400000000000002,50,467.50000000000006,95.39979905000001,372.10020095000004,0.0037210020095000003,0.030462562501023336,244.3,12215.0,take_profit
OOS-20230530-20230601-18450-18950,2023-05-30,2023-05-31,2023-06-01,2,18713.0,18200.0,18450.0,18950.0,19200.0,250.0,3.6,11.5,1.5,0.8,2.2,15.65,1.05,0.8,8.6,430.0,18441.4,18958.6,0.4,1.0,5.159999999999999,17.2,50,1115.0,95.9999539,1019.0000461,0.010190000461,0.08442419603148302,241.4,12070.0,take_profit
OOS-20230606-20230608-18400-18950,2023-06-06,2023-06-07,2023-06-08,2,18672.95,18150.0,18400.0,18950.0,19200.0,250.0,1.6,6.35,1.3,1.05,2.1,3.35,1.0,0.55,4.999999999999999,249.99999999999994,18395.0,18955.0,0.4,1.0,2.9999999999999996,9.999999999999998,50,335.0,95.2837657,239.7162343,0.002397162343,0.019568672187755102,245.0,12250.0,take_profit
OOS-20230613-20230615-18500-19050,2023-06-13,2023-06-14,2023-06-15,2,18776.85,18250.0,18500.0,19050.0,19300.0,250.0,2.6,7.05,1.55,1.0,1.8,3.45,0.8,0.45,5.0,250.0,18495.0,19055.0,0.4,1.0,3.0,10.0,50,350.0,95.34153330000001,254.6584667,0.002546584667,0.02078844626122449,245.0,12250.0,take_profit
OOS-20230620-20230622-18600-19150,2023-06-20,2023-06-21,2023-06-22,2,18864.7,18350.0,18600.0,19150.0,19400.0,250.0,2.4,6.9,1.6,0.9,1.65,2.85,1.05,0.55,5.199999999999999,259.99999999999994,18594.8,19155.2,0.4,1.0,3.1199999999999997,10.399999999999999,50,345.0,95.3164911,249.6835089,0.002496835089,0.02039897948529412,244.8,12240.0,take_profit
